run_id,timestamp,config_id,code_version,dataset_version,question_id,cluster_id,epoch,metric,score,latency_ms,cost_usd,refused
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q001,fastapi_path_params.md,1,p_at_5,0.4,9731.234699022025,0.003012,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q001,fastapi_path_params.md,1,r_at_5,1.0,9731.234699022025,0.003012,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q001,fastapi_path_params.md,1,khr,0.75,9731.234699022025,0.003012,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q001,fastapi_path_params.md,1,citation_acc,1.0,9731.234699022025,0.003012,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q002,fastapi_pagination.md,1,p_at_5,0.6,9010.174938943237,0.0028592,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q002,fastapi_pagination.md,1,r_at_5,1.0,9010.174938943237,0.0028592,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q002,fastapi_pagination.md,1,khr,1.0,9010.174938943237,0.0028592,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q002,fastapi_pagination.md,1,citation_acc,1.0,9010.174938943237,0.0028592,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q003,fastapi_middleware.md,1,p_at_5,1.0,7577.151643112302,0.0040696,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q003,fastapi_middleware.md,1,r_at_5,1.0,7577.151643112302,0.0040696,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q003,fastapi_middleware.md,1,khr,1.0,7577.151643112302,0.0040696,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q003,fastapi_middleware.md,1,citation_acc,1.0,7577.151643112302,0.0040696,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q004,fastapi_security.md,1,p_at_5,1.0,7167.805096949451,0.0030976,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q004,fastapi_security.md,1,r_at_5,1.0,7167.805096949451,0.0030976,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q004,fastapi_security.md,1,khr,1.0,7167.805096949451,0.0030976,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q004,fastapi_security.md,1,citation_acc,1.0,7167.805096949451,0.0030976,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q005,fastapi_deployment.md,1,p_at_5,0.8,7782.470423029736,0.0048720000000000005,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q005,fastapi_deployment.md,1,r_at_5,1.0,7782.470423029736,0.0048720000000000005,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q005,fastapi_deployment.md,1,khr,1.0,7782.470423029736,0.0048720000000000005,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q005,fastapi_deployment.md,1,citation_acc,1.0,7782.470423029736,0.0048720000000000005,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q006,fastapi_dependencies.md,1,p_at_5,1.0,5894.144993973896,0.0038720000000000004,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q006,fastapi_dependencies.md,1,r_at_5,1.0,5894.144993973896,0.0038720000000000004,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q006,fastapi_dependencies.md,1,khr,1.0,5894.144993973896,0.0038720000000000004,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q006,fastapi_dependencies.md,1,citation_acc,1.0,5894.144993973896,0.0038720000000000004,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q007,fastapi_pagination.md,1,p_at_5,0.0,4140.037467004731,0.0023984,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q007,fastapi_pagination.md,1,r_at_5,0.0,4140.037467004731,0.0023984,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q007,fastapi_pagination.md,1,khr,0.75,4140.037467004731,0.0023984,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q007,fastapi_pagination.md,1,calculator_correct,1.0,4140.037467004731,0.0023984,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q008,out_of_scope,1,refusal_correct,1.0,13107.824182952754,0.005318400000000001,True
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q009,out_of_scope,1,refusal_correct,1.0,6340.779304970056,0.0027848000000000005,True
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q010,out_of_scope,1,refusal_correct,0.0,6963.174612959847,0.0027104000000000004,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q011,fastapi_openapi.md,1,p_at_5,0.6,5491.305423085578,0.0023120000000000003,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q011,fastapi_openapi.md,1,r_at_5,1.0,5491.305423085578,0.0023120000000000003,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q011,fastapi_openapi.md,1,khr,1.0,5491.305423085578,0.0023120000000000003,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q011,fastapi_openapi.md,1,citation_acc,1.0,5491.305423085578,0.0023120000000000003,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q012,fastapi_error_handling.md,1,p_at_5,0.8,7614.553906954825,0.0035904,True
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q012,fastapi_error_handling.md,1,r_at_5,1.0,7614.553906954825,0.0035904,True
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q012,fastapi_error_handling.md,1,khr,1.0,7614.553906954825,0.0035904,True
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q012,fastapi_error_handling.md,1,citation_acc,1.0,7614.553906954825,0.0035904,True
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q013,fastapi_request_body.md,1,p_at_5,0.6,6365.292751928791,0.0035408,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q013,fastapi_request_body.md,1,r_at_5,1.0,6365.292751928791,0.0035408,False
01KV7YAYBVJH77X6NCVF50GVBC,2026-06-16T10:11:29.082964+00:00,custom-anthropic+0bc9cd53,7219995-dirty,sha-be308fab,q013,fastapi_request_body.md,1,khr,1.0,6365.292751928791,0.0035408,False
